A.C. Green,81,3,1278,28.6,3.6,3.6,7.2,3.5,3.3,6.8,0.1,0.3,0.4,2.4,0.9,3.3,2.6,4.8,7.4,1.1,0.8,0.4,1.1,1.9,9.6,13.7
A.J. Bramlett,82,5,8,7.6,0.5,2.1,2.6,0.5,2.1,2.6,0,0,0,0,0,0,1.5,1.3,2.8,0,0.1,0,0.4,1.6,1,1.4
A.J. English,75,1,151,20.6,4.1,5.3,9.4,4,5,9,0.1,0.3,0.4,1.7,0.5,2.2,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9,7.6
A.J. Guyton,73,1,80,15.6,2.1,3.4,5.5,1.2,1.9,3.1,0.9,1.5,2.4,0.5,0.1,0.6,0.3,0.7,1,1.8,0.3,0.2,0.8,0.7,5.5,4.5
A.J. Hammons,84,5,22,7.4,0.8,1.1,1.9,0.5,1,1.5,0.2,0.3,0.5,0.4,0.5,0.9,0.4,1.3,1.6,0.2,0,0.6,0.5,1,2.2,2.3
A.J. Price,74,1,261,15.1,2.1,3.4,5.5,1.3,1.6,2.9,0.8,1.8,2.6,0.8,0.3,1.1,0.3,1.2,1.4,2.2,0.5,0,0.9,0.9,5.8,5.3
A.J. Wynder,74,1,6,6.5,0.5,1.5,2,0.5,1.3,1.8,0,0.2,0.2,1,0.3,1.3,0.2,0.3,0.5,1.3,0.2,0,0.7,0.2,2,1.5
Aaron Brooks,72,1,613,21.6,3.6,5.2,8.8,2.3,3,5.3,1.3,2.3,3.6,1.5,0.3,1.8,0.4,1.3,1.7,3.1,0.6,0.1,1.6,1.9,10.1,8.4
Aaron Gordon,81,3,205,24.2,3.7,4.4,8.1,3.1,2.7,5.8,0.6,1.6,2.2,1.6,0.7,2.3,1.5,3.7,5.3,1.5,0.7,0.6,0.9,2,9.7,11.9
Aaron Gray,84,5,318,12.1,1.4,1.3,2.7,1.4,1.3,2.7,0,0,0,0.6,0.4,1,1.4,2.4,3.7,0.7,0.3,0.3,0.8,2.1,3.4,5.9
Aaron Harrison,78,1,26,4.2,0.2,0.7,0.9,0.1,0.3,0.4,0.1,0.4,0.5,0.2,0.3,0.5,0.2,0.5,0.7,0.2,0.2,0,0.2,0.5,0.7,0.6
Aaron McKie,77,1,793,24.2,2.9,3.6,6.5,2.4,2.7,5.1,0.5,0.9,1.4,1.2,0.3,1.5,0.6,2.7,3.3,2.7,1.2,0.2,1.3,2,7.4,9.6
Aaron Miles,73,1,19,6.2,0.3,0.6,0.9,0.3,0.6,0.9,0,0,0,0.2,0,0.2,0,0.7,0.7,1.3,0.2,0.1,0.6,0.7,0.8,1.9
Aaron Swinson,77,3,9,5.7,1.1,0.9,2,1.1,0.9,2,0,0,0,0.4,0.2,0.6,0.3,0.6,0.9,0.3,0.1,0,0.6,0.9,2.7,2.3
Aaron Williams,81,3,715,16.8,2.2,2.3,4.5,2.2,2.2,4.4,0,0,0,1.4,0.4,1.8,1.4,2.5,3.9,0.7,0.4,0.8,0.9,2.4,5.8,8.1
Abdul Jeelani,80,3,143,16.7,3.3,3.7,7,3.3,3.7,7,0,0,0,2.4,0.6,3,1.4,2.1,3.5,1.1,0.6,0.5,1.4,1.9,9,9
Acie Earl,82,3,193,13,1.9,2.7,4.6,1.9,2.7,4.6,0,0,0,1.3,0.7,2,1,1.7,2.7,0.3,0.3,0.7,0.9,1.8,5.1,4.8
Acie Law,75,1,188,12.7,1.4,2,3.4,1.3,1.5,2.8,0.1,0.5,0.6,0.9,0.3,1.2,0.2,0.9,1,1.6,0.4,0,0.8,1,3.9,3.8
Adam Harrington,77,1,19,5.8,0.6,1.3,1.9,0.3,0.9,1.2,0.3,0.4,0.7,0.2,0,0.2,0.1,0.4,0.4,0.6,0.1,0.1,0.1,0.4,1.6,1.4
Adam Keefe,81,3,617,16.7,1.8,1.8,3.6,1.8,1.8,3.6,0,0,0,1.4,0.6,2,1.6,2.5,4.1,0.7,0.5,0.3,0.9,1.8,5,7.3
Adam Morrison,80,3,161,20.4,2.9,4.9,7.8,2.1,3.3,5.4,0.8,1.5,2.3,0.9,0.3,1.2,0.5,1.6,2.1,1.4,0.2,0.1,1.1,1.7,7.5,5.1
Adonal Foyle,82,5,733,17.8,1.8,2,3.8,1.8,2,3.8,0,0,0,0.5,0.5,1,1.8,2.9,4.7,0.5,0.4,1.6,0.8,2.1,4.1,8
Adonis Jordan,71,1,10,9.7,0.8,1.9,2.7,0.5,1,1.5,0.3,0.9,1.2,0.2,0.2,0.4,0.3,0.3,0.6,2.2,0.3,0.1,0.8,0.6,2.1,2.4
Adonis Thomas,79,3,6,6.2,1,1.3,2.3,0.8,0.7,1.5,0.2,0.6,0.8,0.2,0,0.2,0,0.5,0.5,0.5,0,0,0.2,1,2.3,1.8
Adreian Payne,82,3,102,13.3,1.6,2.5,4.1,1.5,2.1,3.6,0.1,0.4,0.5,0.6,0.3,0.9,0.8,2.2,3,0.6,0.4,0.3,0.9,1.9,4,4.6
Adrian Branch,79,3,130,11,2.5,3.1,5.6,2.5,2.8,5.3,0.1,0.2,0.3,1.3,0.4,1.7,0.9,1.1,1.9,0.7,0.6,0.1,1,1.5,6.4,5.3
Adrian Caldwell,80,3,197,8.1,0.8,0.9,1.7,0.8,0.9,1.7,0,0,0,0.3,0.4,0.7,0.9,1.6,2.5,0.2,0.3,0.2,0.6,1.4,2,3.3
